ap_visit_id,turbine_id,visit_date,ground_condition,kentledge_recommended,max_crane_capacity_t,exclusion_zone_m,notes,latitude,longitude
a372312f-282d-45ec-a728-537533cb4684,T034,19 04 2022,Good,FALSE,700,91,Synthetic AP inspection record,472483.66,6201619.99
22be68f6-6365-4344-b460-7529c7cf9aa3,T287,22 07 2021,Poor,TRUE,300,143,Synthetic AP inspection record,472436.92,6201886.98
c8b5ea1a-08e9-4e71-9953-6b0630581fd5,T102,11 12 2023,Moderate,TRUE,500,105,Synthetic AP inspection record,472389.71,6202153.63
20b50b53-845b-44cb-8a27-dfa600801691,T411,11 09 2022,Moderate,TRUE,500,105,Synthetic AP inspection record,467410.34,6214873.09
dd14022c-c50e-4157-b831-19e40d118e79,T058,25 12 2023,Good,FALSE,700,82,Synthetic AP inspection record,467760.31,6214943.2
03ee49d0-1c4f-4404-95a3-c2a9000818d5,T219,22 08 2021,Poor,TRUE,300,120,Synthetic AP inspection record,468111.42,6215011.69
1a80a2a6-e1d9-41dd-b383-8f8ccd967813,T007,15 10 2020,Good,TRUE,700,98,Synthetic AP inspection record,468462.23,6215079.17
f4506b58-3abf-47bf-ad2b-824c5f1cd5f1,T365,14 08 2021,Moderate,TRUE,500,114,Synthetic AP inspection record,452308.05,6220383.75
d93b1c16-ba30-410f-9fe5-57d19cab586e,T144,16 01 2022,Moderate,TRUE,500,107,Synthetic AP inspection record,452293.95,6220065.05
9c594ab9-c195-4e1e-bc0d-ac734626ad6d,T091,15 01 2022,Moderate,FALSE,500,100,Synthetic AP inspection record,452280.18,6219747.06
48762c1c-e7fd-46a5-8a7d-1df0e23f2b2c,T276,5 10 2021,Moderate,FALSE,500,118,Synthetic AP inspection record,452266.08,6219428.81
a1f0f59e-d174-495d-98c7-e4cfae04fbfd,T402,3 02 2024,Good,FALSE,700,100,Synthetic AP inspection record,452252.39,6219119.56
4fb29951-cf67-41df-9d72-6ede5116ccde,T188,3 07 2022,Moderate,FALSE,500,111,Synthetic AP inspection record,457700.12,6190144.57
526c7f72-d097-43f8-bed3-424163bcf72a,T063,14 12 2020,Good,FALSE,700,94,Synthetic AP inspection record,457554.25,6190474.47
767d246d-9a9f-40d0-8b14-518c4388792e,T251,26 10 2022,Poor,TRUE,300,133,Synthetic AP inspection record,457408.4,6190803.54
a1c54ac7-6cd1-45a8-bc47-502abecb8d07,T009,30 01 2021,Poor,TRUE,300,144,Synthetic AP inspection record,457928.12,6190509.08
d1a79a3e-fb6d-45a1-80ee-0639d68a2823,T317,2 09 2022,Moderate,TRUE,500,100,Synthetic AP inspection record,457782.31,6190836.78
2669ef18-d1fc-4222-a577-0d3f0da5c559,T174,9 06 2021,Moderate,TRUE,500,109,Synthetic AP inspection record,457634.66,6191173.24
bf537a10-0aa1-48fb-baa2-4f86bd208be2,T056,16 07 2024,Poor,TRUE,300,146,Synthetic AP inspection record,474857.16,6194137.61
fca17475-ebfb-4418-a6e3-1590c21d90e2,T298,20 06 2022,Good,FALSE,700,95,Synthetic AP inspection record,474599.76,6194268.31
36512d4d-1761-4ef2-aa68-8f4cbc115c6f,T121,26 01 2023,Good,FALSE,700,83,Synthetic AP inspection record,474343.77,6194406.23
