mce_id,turbine_id,component,blade_removal,kentledge_required,crane_class,crane_capacity_t,tech_count,start_date,end_date,duration_days,weather_delay,latitude,longitude
MCE_001,T034,Transformer,FALSE,FALSE,Medium,350,4,6 05 2022,7 05 2022,1.28,FALSE,472483.66,6201619.99
MCE_002,T287,Gearbox,TRUE,TRUE,Heavy,600,6,31 07 2021,6 08 2021,5.77,FALSE,472436.92,6201886.98
MCE_003,T102,Main Bearing,TRUE,FALSE,Heavy,600,6,30 05 2024,3 06 2024,3.6,FALSE,472389.71,6202153.63
MCE_004,T411,Gearbox,TRUE,TRUE,Heavy,600,6,12 01 2022,19 01 2022,7.32,TRUE,467410.34,6214873.09
MCE_005,T058,Transformer,FALSE,FALSE,Medium,350,4,1 05 2024,2 05 2024,1.48,FALSE,467760.31,6214943.2
MCE_006,T219,Generator,TRUE,FALSE,Medium,350,5,14 11 2021,17 11 2021,2.61,FALSE,468111.42,6215011.69
MCE_007,T007,Main Bearing,TRUE,FALSE,Heavy,600,6,4 01 2021,8 01 2021,4.04,FALSE,468462.23,6215079.17
MCE_008,T365,Gearbox,TRUE,FALSE,Heavy,600,6,9 06 2021,13 06 2021,3.96,TRUE,452308.05,6220383.75
MCE_009,T144,Gearbox,TRUE,TRUE,Heavy,600,6,27 06 2022,2 07 2022,5.12,FALSE,452293.95,6220065.05
MCE_010,T091,Transformer,FALSE,FALSE,Medium,350,4,4 02 2022,6 02 2022,1.68,FALSE,452280.18,6219747.06
MCE_011,T276,Generator,FALSE,FALSE,Medium,350,5,13 12 2021,15 12 2021,1.67,FALSE,452266.08,6219428.81
MCE_012,T402,Generator,TRUE,FALSE,Medium,350,5,28 07 2024,2 08 2024,5.11,TRUE,452252.39,6219119.56
MCE_013,T188,Generator,FALSE,FALSE,Medium,350,5,12 03 2022,14 03 2022,2,FALSE,457700.12,6190144.57
MCE_014,T063,Generator,FALSE,TRUE,Medium,350,5,3 01 2021,7 01 2021,4.07,TRUE,457554.25,6190474.47
MCE_015,T251,Gearbox,TRUE,TRUE,Heavy,600,6,3 01 2023,8 01 2023,4.92,TRUE,457408.4,6190803.54
MCE_016,T009,Transformer,FALSE,FALSE,Medium,350,4,2 11 2021,3 11 2021,1.38,FALSE,457928.12,6190509.08
MCE_017,T317,Gearbox,TRUE,FALSE,Heavy,600,6,19 11 2022,23 11 2022,3.8,FALSE,457782.31,6190836.78
MCE_018,T174,Gearbox,TRUE,FALSE,Heavy,600,6,9 01 2021,13 01 2021,4.29,FALSE,457634.66,6191173.24
MCE_019,T056,Gearbox,TRUE,TRUE,Heavy,600,6,13 09 2024,19 09 2024,5.67,TRUE,474857.16,6194137.61
